case_id,created_at,case_summary,channel,case_type,category,plan_tier,customer_tenure_months
ND-2025-001303,2025-07-27 13:15:35+00:00,Webhook failure for payment notifications.,email,incident,integrations,Pro,24
ND-2025-001435,2025-08-11 10:55:40+00:00,Completely unable to access Northstar Desk getting 502.,email,incident,performance_outage,Enterprise,60
ND-2025-000092,2025-01-02 15:20:10+00:00,Walkthrough for creating charts?,email,service_request,how_to_training,Standard,1
ND-2025-000660,2025-04-19 12:05:00+00:00,Test ignore please,email,service_request,other,Free,0
ND-2025-000655,2025-04-17 15:30:00+00:00,Requesting refund for the downtime last week,email,incident,billing_payments,Pro,38
ND-2025-000843,2025-05-08 08:10:45+00:00,Docs say 'click gear icon' but it's a slider now.,webchat,service_request,how_to_training,Standard,9
ND-2025-001334,2025-07-14 15:15:00+00:00,Token problem with Hubspot.,webchat,incident,integrations,Standard,11
ND-2025-002155,2025-11-30 12:05:35+00:00,Video tutorial needed.,email,service_request,how_to_training,Standard,5
ND-2025-002074,2025-11-23 11:40:20+00:00,Submitting our annual pentest report for review.,email,incident,security_privacy,Enterprise,55
ND-2025-000039,2025-01-13 16:00:40+00:00,Reports are timing out completely,email,incident,performance_outage,Enterprise,30
ND-2025-002006,2025-11-02 13:55:00+00:00,Update billing contact email address please.,email,service_request,account_admin,Pro,12
ND-2025-001298,2025-07-26 09:20:30+00:00,Database seems slow reports taking ages.,email,incident,performance_outage,Pro,20
ND-2025-001350,2025-07-30 13:05:00+00:00,Database slow query.,in_app,incident,performance_outage,Pro,22
ND-2025-001311,2025-07-29 13:35:55+00:00,Add new user to the account.,email,service_request,account_admin,Free,4
ND-2025-001667,2025-09-17 08:50:00+00:00,Completely locked out of my account help,phone,incident,access_permissions,Free,4
ND-2025-002245,2025-12-17 09:05:22+00:00,Terminate contract ND-ENT-882 immediately.,email,service_request,account_admin,Enterprise,35
ND-2025-000934,2025-05-27 08:20:20+00:00,API auth failed.,webchat,incident,integrations,Pro,13
ND-2025-000096,2025-01-06 11:30:50+00:00,Submitting annual pen test results,email,incident,security_privacy,Enterprise,24
ND-2025-001926,2025-10-17 09:20:18+00:00,Retention policy query.,email,service_request,account_admin,Enterprise,50
ND-2025-001695,2025-09-24 12:20:55+00:00,Examples of finance widgets for Polaris?,webchat,service_request,how_to_training,Standard,6
