Model,Class,Precision,Recall,F1-Score,Support
Logistic Regression,Low,0.667,0.617,0.641,81
Logistic Regression,Medium,0.707,0.678,0.692,146
Logistic Regression,High,0.578,0.649,0.611,74
Logistic Regression,Urgent,0.605,0.65,0.627,40
Decision Tree,Low,0.672,0.506,0.577,81
Decision Tree,Medium,0.667,0.781,0.719,146
Decision Tree,High,0.602,0.676,0.637,74
Decision Tree,Urgent,0.615,0.4,0.485,40
Random Forest,Low,0.662,0.654,0.658,81
Random Forest,Medium,0.732,0.692,0.711,146
Random Forest,High,0.628,0.662,0.645,74
Random Forest,Urgent,0.556,0.625,0.588,40
